race_eth,YEAR,weighted_count,count,percent_crowded,rel_risk
AIAN,1970,347600,3476,48.09741248097412,4.406623231100336
AAPI,1970,339000,3390,23.824583596879613,2.182777786452254
Black,1970,7705100,77051,35.59266444937177,3.2609542578075943
Hispanic,1970,3171700,31717,41.26379059117402,3.7805355598755948
White,1970,18071100,180711,10.91480028097709,1
Other,1970,47700,477,29.94350282485876,2.7433853166370743
AIAN,1980,382600,3826,27.10207551179429,6.175594208263959
AAPI,1980,879800,8798,25.041983320524864,5.706172838695537
Black,1980,5106300,51063,20.11241177211999,4.5828996971125715
Hispanic,1980,4463300,44633,30.881477893862865,7.036784911213797
White,1980,7724700,77247,4.388577778560525,1
Other,1980,29200,292,14.119922630560929,3.2174256314974854
AIAN,1990,371043,4492,20.323250116256332,5.606951792099979
AAPI,1990,1966817,19127,28.807203437618178,7.94757728296339
Black,1990,4616645,42717,16.54880101223218,4.565624541441866
Hispanic,1990,8025608,77609,37.54907912771839,10.359360599437752
White,1990,6645546,70847,3.6246521942441454,1
Other,1990,57227,556,25.4076853064577,7.009689190815178
AIAN,2000,399332,4924,19.868954025441965,5.629484181291438
AAPI,2000,2566939,23617,25.14434342170828,7.124163826652046
Black,2000,4742223,42798,14.778830492261193,4.187296038213129
Hispanic,2000,13873564,133169,40.192373221292534,11.38773228666701
White,2000,6685387,70812,3.5294448630787176,1
Multiracial,2000,695399,6735,14.113454968190895,3.9987747409885297
Other,2000,71200,699,16.372483190610655,4.638826735014927
AIAN,2010,231492,17099,11.70166841734394,5.226332585317172
AAPI,2010,1494840,64074,10.068342739092492,4.496838045715578
Black,2010,2513516,93965,6.970088624244429,3.113060462851986
Hispanic,2010,9697413,366571,19.56251864860848,8.7372351546519
White,2010,4302851,207089,2.238982733364222,1
Multiracial,2010,367865,17036,6.2769406021044345,2.80347878908066
Other,2010,68063,2417,11.301340293828538,5.047533473760879
AIAN,2020,201724,15507,11.471361119498937,4.5837431856884985
AAPI,2020,1722011,75263,9.115987762843956,3.642579668922574
Black,2020,2599763,76953,6.758823831445565,2.700700671692468
Hispanic,2020,9063892,315228,14.943219047779827,5.971033233892582
White,2020,4761681,222812,2.50261863607786,1
Multiracial,2020,639402,26987,5.567323171650729,2.2245991024728875
Other,2020,120201,4805,8.633938422286581,3.4499616912538515
